,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,571, 3, 90, 13, 47, 3, 28, 8, 230, 7
automobile,85, 235, 120, 42, 167, 27, 67, 16, 206, 35
bird,126, 3, 449, 45, 245, 19, 54, 10, 45, 4
cat,67, 5, 209, 186, 213, 104, 129, 15, 59, 13
deer,70, 0, 262, 22, 524, 5, 49, 15, 52, 1
dog,59, 2, 210, 129, 182, 261, 85, 15, 52, 5
frog,23, 1, 257, 41, 315, 22, 311, 0, 29, 1
horse,81, 7, 156, 39, 300, 44, 55, 244, 60, 14
ship,119, 13, 38, 27, 63, 15, 12, 8, 693, 12
truck,123, 67, 60, 40, 116, 25, 48, 26, 247, 248
Acc: 37.22%
Time(sec): 1780
