,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,12, 44, 6, 20, 57, 7, 825, 7, 2, 20
automobile,32, 98, 38, 49, 105, 28, 523, 33, 15, 79
bird,34, 89, 19, 41, 100, 14, 588, 21, 9, 85
cat,50, 94, 37, 50, 97, 25, 499, 37, 10, 101
deer,45, 68, 37, 51, 134, 31, 459, 59, 14, 102
dog,38, 95, 33, 41, 117, 27, 497, 43, 14, 95
frog,38, 103, 59, 67, 110, 35, 435, 64, 16, 73
horse,34, 84, 24, 52, 90, 25, 563, 35, 8, 85
ship,19, 53, 10, 15, 51, 5, 804, 11, 0, 32
truck,23, 57, 11, 23, 76, 11, 701, 28, 7, 63
Acc: 8.73%
Time(sec): 3
